"status","id","nome","categoria","subcategoria","subcategoria2","peso","altura","largura","comprimento","preco","destaque","descricao","imagens","nome_variacao_1","variacoes_1","nome_variacao_2","variacoes_2","nome_variacao_3","variacoes_3","caminho_origem","pasta_produto"
"ativo","3-2-5-040","Miniatura Bananito Dolfinito","decoracao","Miniaturas","Abstratas","50","8","6","6","17.9","","Brainrot Italiano","produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-040-miniatura-bananito-dolfinito/1.png|produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-040-miniatura-bananito-dolfinito/2.png","","","","","","","3 DECORAÇÃO\2 MINIATURAS\5 ABSTRATAS\040 BANANITO DOLFINITO","3-2-5-040-miniatura-bananito-dolfinito"
"ativo","3-2-5-041","Miniatura Cottolino Pimpamperprimo","decoracao","Miniaturas","Abstratas","50","8","6","6","17.9","","Brainrot Italiano","produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-041-miniatura-cottolino-pimpamperprimo/1.png|produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-041-miniatura-cottolino-pimpamperprimo/2.png","","","","","","","3 DECORAÇÃO\2 MINIATURAS\5 ABSTRATAS\041 COTTOLINO PIMPAMPERPRIMO","3-2-5-041-miniatura-cottolino-pimpamperprimo"
"ativo","3-2-5-042","Miniatura Penguim Cocosino","decoracao","Miniaturas","Abstratas","50","8","6","6","17.9","","Brainrot Italiano","produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-042-miniatura-penguim-cocosino/1.png|produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-042-miniatura-penguim-cocosino/2.png","","","","","","","3 DECORAÇÃO\2 MINIATURAS\5 ABSTRATAS\042 PENGUIM COCOSINO","3-2-5-042-miniatura-penguim-cocosino"
"ativo","3-2-5-043","Miniatura Serpente Linguicine","decoracao","Miniaturas","Abstratas","50","8","6","6","17.9","","Brainrot Italiano","produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-043-miniatura-serpente-linguicine/1.png|produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-043-miniatura-serpente-linguicine/2.png","","","","","","","3 DECORAÇÃO\2 MINIATURAS\5 ABSTRATAS\043 SERPENTE LINGUICINE","3-2-5-043-miniatura-serpente-linguicine"
"ativo","3-2-5-044","Miniatura Legeni Peschkaqueni","decoracao","Miniaturas","Abstratas","50","8","6","6","17.9","","Brainrot Italiano","produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-044-miniatura-legeni-peschkaqueni/1.png|produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-044-miniatura-legeni-peschkaqueni/2.png|produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-044-miniatura-legeni-peschkaqueni/3.png","","","","","","","3 DECORAÇÃO\2 MINIATURAS\5 ABSTRATAS\044 LEGENI PESCHKAQUENI","3-2-5-044-miniatura-legeni-peschkaqueni"
"ativo","3-2-5-045","Miniatura Robertooo","decoracao","Miniaturas","Abstratas","50","8","6","6","17.9","","Brainrot Italiano","produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-045-miniatura-robertooo/1.png|produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-045-miniatura-robertooo/2.png|produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-045-miniatura-robertooo/3.png","","","","","","","3 DECORAÇÃO\2 MINIATURAS\5 ABSTRATAS\045 ROBERTOOO","3-2-5-045-miniatura-robertooo"
"ativo","3-2-5-046","Miniatura Bungoletti Spaghettini","decoracao","Miniaturas","Abstratas","50","8","6","6","17.9","","Brainrot Italiano","produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-046-miniatura-bungoletti-spaghettini/1.png|produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-046-miniatura-bungoletti-spaghettini/2.png","","","","","","","3 DECORAÇÃO\2 MINIATURAS\5 ABSTRATAS\046 BUNGOLETTI SPAGHETTINI","3-2-5-046-miniatura-bungoletti-spaghettini"
"ativo","3-2-5-047","Miniatura Bungoletti Spaghettini","decoracao","Miniaturas","Abstratas","50","8","6","6","17.9","","Brainrot Italiano","produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-047-miniatura-bungoletti-spaghettini/1.png|produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-047-miniatura-bungoletti-spaghettini/2.png","","","","","","","3 DECORAÇÃO\2 MINIATURAS\5 ABSTRATAS\047 MELANINI PANDANINI","3-2-5-047-miniatura-bungoletti-spaghettini"
"ativo","3-2-5-048","Miniatura Porcellì Sparazzo Cósmico","decoracao","Miniaturas","Abstratas","50","8","6","6","17.9","","Brainrot Italiano","produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-048-miniatura-porcelli-sparazzo-cosmico/1.png|produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-048-miniatura-porcelli-sparazzo-cosmico/2.png","","","","","","","3 DECORAÇÃO\2 MINIATURAS\5 ABSTRATAS\048 PORCELLÌ SPARAZZO CÓSMICO","3-2-5-048-miniatura-porcelli-sparazzo-cosmico"
"ativo","3-2-5-049","Miniatura Skibidettotoaletto","decoracao","Miniaturas","Abstratas","50","8","6","6","17.9","","Brainrot Italiano","produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-049-miniatura-skibidettotoaletto/1.png|produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-049-miniatura-skibidettotoaletto/2.png","","","","","","","3 DECORAÇÃO\2 MINIATURAS\5 ABSTRATAS\049 SKIBIDETTOTOALETTO","3-2-5-049-miniatura-skibidettotoaletto"
"ativo","3-2-5-050","Miniatura Capuchino Assassino","decoracao","Miniaturas","Abstratas","50","8","6","6","17.9","","Brainrot Italiano","produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-050-miniatura-capuchino-assassino/1.png|produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-050-miniatura-capuchino-assassino/2.png","","","","","","","3 DECORAÇÃO\2 MINIATURAS\5 ABSTRATAS\050 CAPUCCINO ASSASSINO","3-2-5-050-miniatura-capuchino-assassino"
